cellid	snp.file	Gender	fileid	logr	baf	study	penalty
NCI-H1618	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G01_464678_tumour_BAF.txt	CCLE	70
NCI-H1623	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672.CEL	M	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672_tumour_BAF.txt	CCLE	70
NCI-H1648	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444_tumour_BAF.txt	CCLE	70
NCI-H1650	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890.CEL	M	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890_tumour_LogR.txt	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890_tumour_BAF.txt	CCLE	70
NCI-H1651	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200_tumour_BAF.txt	CCLE	70
NCI-H1666	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202.CEL	F	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202_tumour_BAF.txt	CCLE	70
NCI-H1693	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440.CEL	F	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440_tumour_BAF.txt	CCLE	70
NCI-H1694	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_E06_592982.CEL	M	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_E06_592982	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_E06_592982_tumour_LogR.txt	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_E06_592982_tumour_BAF.txt	CCLE	70
NCI-H1703	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220_tumour_BAF.txt	CCLE	70
NCI-H1734	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256.CEL	F	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256_tumour_BAF.txt	CCLE	70
NCI-H1755	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556_tumour_BAF.txt	CCLE	70
NCI-H1792	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308_tumour_BAF.txt	CCLE	70
NCI-H1793	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058.CEL	F	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058_tumour_LogR.txt	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058_tumour_BAF.txt	CCLE	70
NCI-H1838	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626_tumour_BAF.txt	CCLE	70
NCI-H1930	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716.CEL	M	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D09_464716_tumour_BAF.txt	CCLE	70
NCI-H1963	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E05_256106_tumour_BAF.txt	CCLE	70
NCI-H1975	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034_tumour_BAF.txt	CCLE	70
NCI-H2009	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882.CEL	F	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882_tumour_LogR.txt	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882_tumour_BAF.txt	CCLE	70
NCI-H2029	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262.CEL	F	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262_tumour_BAF.txt	CCLE	70
NCI-H2030	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764_tumour_BAF.txt	CCLE	70
NCI-H2052	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C03_437324.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C03_437324	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C03_437324_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C03_437324_tumour_BAF.txt	CCLE	70
NCI-H2081	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960.CEL	F	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960_tumour_LogR.txt	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960_tumour_BAF.txt	CCLE	70
NCI-H2087	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292_tumour_BAF.txt	CCLE	70
NCI-H209	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D07_256086_tumour_BAF.txt	CCLE	70
NCI-H2122	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662.CEL	F	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662_tumour_BAF.txt	CCLE	70
NCI-H2126	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892.CEL	M	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892_tumour_LogR.txt	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892_tumour_BAF.txt	CCLE	70
NCI-H2141	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800.CEL	M	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800_tumour_LogR.txt	celfiles/AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A01_542800_tumour_BAF.txt	CCLE	70
NCI-H2170	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148.CEL	M	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148_tumour_BAF.txt	CCLE	70
NCI-H2171	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686_tumour_BAF.txt	CCLE	70
NCI-H2196	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414_tumour_BAF.txt	CCLE	70
NCI-H2227	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A02_437560.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A02_437560	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A02_437560_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A02_437560_tumour_BAF.txt	CCLE	70
NCI-H2228	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084.CEL	F	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084_tumour_LogR.txt	celfiles/ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084_tumour_BAF.txt	CCLE	70
NCI-H226	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454_tumour_BAF.txt	CCLE	70
NCI-H2291	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224_tumour_BAF.txt	CCLE	70
NCI-H23	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410_tumour_BAF.txt	CCLE	70
NCI-H2342	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228_tumour_BAF.txt	CCLE	70
NCI-H2347	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206.CEL	F	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206_tumour_BAF.txt	CCLE	70
NCI-H2405	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340.CEL	M	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340_tumour_LogR.txt	celfiles/MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340_tumour_BAF.txt	CCLE	70
NCI-H2452	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B02_437542.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B02_437542	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B02_437542_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B02_437542_tumour_BAF.txt	CCLE	70
NCI-H28	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_C07_592884.CEL	M	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_C07_592884	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_C07_592884_tumour_LogR.txt	celfiles/SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_C07_592884_tumour_BAF.txt	CCLE	70
NCI-H292	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E04_698570.CEL	F	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E04_698570	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E04_698570_tumour_LogR.txt	celfiles/VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E04_698570_tumour_BAF.txt	CCLE	70
NCI-H358	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254_tumour_BAF.txt	CCLE	70
NCI-H441	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316_tumour_BAF.txt	CCLE	70
NCI-H446	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786_tumour_BAF.txt	CCLE	70
NCI-H460	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212_tumour_BAF.txt	CCLE	70
NCI-H508	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944.CEL	M	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944_tumour_LogR.txt	celfiles/FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944_tumour_BAF.txt	CCLE	70
NCI-H510A	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214.CEL	M	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214_tumour_LogR.txt	celfiles/LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214_tumour_BAF.txt	CCLE	70
NCI-H520	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780_tumour_BAF.txt	CCLE	70
NCI-H522	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214_tumour_BAF.txt	CCLE	70
NCI-H524	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720.CEL	M	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720_tumour_BAF.txt	CCLE	70
NCI-H526	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440_tumour_BAF.txt	CCLE	70
NCI-H596	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468_tumour_BAF.txt	CCLE	70
NCI-H650	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312.CEL	M	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312_tumour_LogR.txt	celfiles/HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312_tumour_BAF.txt	CCLE	70
NCI-H661	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228_tumour_BAF.txt	CCLE	70
NCI-H69	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D04_437520.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D04_437520	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D04_437520_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D04_437520_tumour_BAF.txt	CCLE	70
NCI-H716	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F08_464696.CEL	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F08_464696	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F08_464696_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F08_464696_tumour_BAF.txt	CCLE	70
NCI-H727	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628.CEL	F	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628_tumour_LogR.txt	celfiles/BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H12_464628_tumour_BAF.txt	CCLE	70
NCI-H747	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E03_335288.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E03_335288	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E03_335288_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E03_335288_tumour_BAF.txt	CCLE	70
NCI-H810	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200_tumour_BAF.txt	CCLE	70
NCI-H82	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304_tumour_BAF.txt	CCLE	70
NCI-H838	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196_tumour_BAF.txt	CCLE	70
NCI-H889	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700.CEL	F	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700_tumour_LogR.txt	celfiles/LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700_tumour_BAF.txt	CCLE	70
NCI-N87	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H11_335376.CEL	M	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H11_335376	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H11_335376_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H11_335376_tumour_BAF.txt	CCLE	70
NCI-SNU-1	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B05_437532.CEL	M	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B05_437532	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B05_437532_tumour_LogR.txt	celfiles/PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B05_437532_tumour_BAF.txt	CCLE	70
NCI-SNU-16	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E08_335298.CEL	F	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E08_335298	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E08_335298_tumour_LogR.txt	celfiles/FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E08_335298_tumour_BAF.txt	CCLE	70
